ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRD_PT_MC,NVA_ALIANZA,MORENA,PH,ES,BS,FACA,JLCM,JRM,ISRM,MARM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
3,BAJA CALIFORNIA SUR,1,LA PAZ,38,61,5867,4862,,1965,,1054,364,1244,374,,,,,,43,15773,694,16467,31836,0.5172
3,BAJA CALIFORNIA SUR,2,LA PAZ,25,38,5311,3269,,621,,882,540,441,,,,,,,34,11098,453,11551,19608,0.5891
3,BAJA CALIFORNIA SUR,3,LA PAZ,23,39,4693,3386,,929,,851,286,891,,484,369,,,,17,11906,427,12333,20418,0.604
3,BAJA CALIFORNIA SUR,4,LA PAZ,84,124,14965,7535,,2460,,2664,2672,1460,,,,,,,47,31803,1106,32909,65271,0.5042
3,BAJA CALIFORNIA SUR,5,LA PAZ,35,69,7954,,5368,1147,986,1651,610,852,,,,679,,,39,19286,848,20134,34177,0.5891
3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,18,35,4532,,2830,378,88,297,214,33,,,,,,,33,8405,410,8815,15264,0.5775
3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,45,121,10999,,5541,10359,405,1883,933,811,,,,,,,31,30962,1035,31997,65869,0.4858
3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,69,143,16466,,3581,6281,781,2430,,1436,,,,,,,85,31060,1180,32240,80334,0.4013
3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,20,25,4080,2464,,1027,,244,80,95,,,,,,,10,8000,174,8174,13104,0.6238
3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,19,38,5096,3416,,951,,256,74,380,,,,,,,1,10174,348,10522,18516,0.5683
3,BAJA CALIFORNIA SUR,11,CIUDAD INSURGENTES,24,35,4170,,3708,532,191,181,799,116,,,,,,,1,9698,329,10027,15613,0.6422
3,BAJA CALIFORNIA SUR,12,LORETO,19,32,4577,,2576,744,770,202,527,95,,,,,854,,0,10345,383,10728,14955,0.7174
3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,17,31,3553,2294,,225,,104,703,960,,,,,,879,14,8732,410,9142,14621,0.6253
3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,12,28,2902,3457,,393,,490,420,132,,,,,,,6,7800,377,8177,15884,0.5148
3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,15,21,2477,1033,,697,,122,197,33,,,,,,,1,4560,138,4698,7382,0.6364
3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,20,53,5407,2464,,4183,,1010,325,447,,,,,,,38,13874,474,14348,32546,0.4409
