ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PFD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
15,MEXICO,1,ACAMBAY DE RUIZ CASTAÑEDA,32,82,8617,10561,797,1020,453,0,1473,510,0,0,0,0,0,0,0,0,0,0,0,21,23431,1209,24661,43206,0.5708
15,MEXICO,2,ACOLMAN,26,114,1127,19749,7030,800,1282,771,601,2656,700,2049,0,2644,0,0,0,0,0,0,0,138,39409,1100,40647,72755,0.5587
15,MEXICO,3,ACULCO,23,57,2018,11156,2841,379,477,0,804,1035,0,0,0,0,0,0,0,0,0,0,0,14,18710,968,19692,30662,0.6422
15,MEXICO,4,ALMOLOYA DE ALQUISIRAS,12,23,3940,4141,52,77,221,29,48,38,116,0,29,0,0,0,0,0,0,0,0,0,8691,133,8824,11259,0.7837
15,MEXICO,5,ALMOLOYA DE JUAREZ,57,171,6506,18909,7995,3251,7023,2380,2682,1772,2599,1586,232,0,0,0,0,0,0,0,0,34,54935,2516,57485,103614,0.5548
15,MEXICO,6,ALMOLOYA DEL RIO,5,13,830,1517,1315,45,193,0,53,125,0,784,0,0,0,0,0,0,0,0,0,6,4862,148,5016,7737,0.6483
15,MEXICO,7,AMANALCO,10,28,2290,4030,628,55,4428,0,66,80,0,0,0,0,0,0,0,0,0,0,0,5,11577,308,11890,16143,0.7365
15,MEXICO,8,AMATEPEC,27,46,3236,4299,6733,150,55,19,49,206,0,0,0,0,0,0,0,0,0,0,0,0,14747,488,15235,20617,0.739
15,MEXICO,9,AMECAMECA,26,65,770,5327,4479,372,225,1280,332,1065,0,6775,1042,0,0,0,0,0,0,0,0,9,21667,732,22408,36762,0.6095
15,MEXICO,10,APAXCO,14,33,2582,3584,219,93,86,3207,74,105,110,1825,0,0,0,0,0,0,0,0,0,13,11885,297,12195,19755,0.6173
15,MEXICO,11,ATENCO,14,55,1053,6739,1802,248,4165,359,293,4011,455,612,0,0,0,0,0,0,0,0,0,13,19737,521,20271,36365,0.5574
15,MEXICO,12,ATIZAPAN,3,13,388,1538,397,43,918,0,411,858,0,0,0,0,0,0,0,0,0,0,0,2,4553,160,4715,7460,0.632
15,MEXICO,13,ATIZAPAN DE ZARAGOZA,167,594,63464,42776,6616,4730,2143,4214,4968,15134,0,9846,1210,0,0,0,0,0,0,0,0,302,155101,7572,162975,378410,0.4307
15,MEXICO,14,ATLACOMULCO,39,118,4802,14610,1129,722,8401,1122,974,1426,0,969,194,0,0,0,0,0,0,0,0,44,34349,1530,35923,69062,0.5202
15,MEXICO,15,ATLAUTLA,13,31,2636,3122,1286,87,141,1630,64,793,0,773,1555,0,0,0,0,0,0,0,0,4,12087,273,12364,19214,0.6435
15,MEXICO,16,AXAPUSCO,20,32,2613,5031,754,65,2824,0,433,287,154,116,0,0,0,0,0,0,0,0,0,1,12277,263,12541,16671,0.7523
15,MEXICO,17,AYAPANGO,5,9,33,1454,1343,31,63,744,13,79,0,27,34,0,0,0,0,0,0,0,0,0,3821,58,3879,5144,0.7541
15,MEXICO,18,CALIMAYA,16,53,4613,6667,747,293,5139,390,296,781,1441,217,44,0,0,0,0,0,0,0,0,8,20628,593,21229,32458,0.654
