state,mun,uniqueid,section,year,incumbent_party_magar,incumbent_candidate_magar,incumbent_party_JL,incumbent_candidate_JL,runnerup_party_magar,runnerup_candidate_magar,margin,PAN,PRI,PRD,PartCardenista,PT,PVEM,PPS,PD,total,valid,listanominal,PT_PC_PAS_PSN,PDS,PCD,PARM,DSPPN,PC,PSN,PAS,FUERZACIUDADANA,MEXICOPOSIBLE,PLM,nulos,PRD_PT_PC,PANAL,PRI_PANAL,PSD,PRI_PVEM,PT_PC,MC,MORENA,PH,PES,PAN_MC,PRI_PVEM_PANAL,PLC,CI_1,CI_2,RSP,FXM,PAN_PRI_PRD,CL,EDC,MLC,PRI_PRD,PT_PVEM_MORENA
CAMPECHE,Calakmul,4010,416,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,1,19,31,1,4,0,0,0,56,56,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,417,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,89,299,113,1,12,1,0,0,515,515,855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,418,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,6,26,35,0,0,0,0,0,67,67,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,419,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,6,103,32,1,1,2,0,0,145,145,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,420,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,14,51,10,0,0,0,0,0,75,75,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,421,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,30,156,246,0,32,0,0,0,464,464,838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,422,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,8,133,118,1,9,0,0,0,269,269,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,423,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,0,18,75,0,0,0,0,0,93,93,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,424,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,3,109,79,0,0,0,0,0,191,191,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,425,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,1,50,104,2,2,2,0,0,161,161,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,426,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,4,205,160,1,4,2,0,0,376,376,747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,4010,427,1997,NA,NA,CM,JUAN GONZALEZ CHAN,NA,NA,NA,0,137,15,0,0,0,0,0,152,152,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,147,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,24,341,142,2,29,2,1,0,541,541,796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,148,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,35,224,147,0,41,0,0,0,447,447,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,149,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,36,289,233,1,39,5,0,0,603,603,797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,150,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,7,282,175,0,41,1,0,0,506,506,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,151,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,16,251,146,0,41,4,2,0,460,460,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,152,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,8,367,144,1,78,1,0,0,599,599,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,153,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,12,363,172,0,42,1,0,0,590,590,785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,154,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,16,311,227,1,98,5,1,0,659,659,934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,155,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,6,319,264,1,77,5,0,0,672,672,922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,156,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,7,149,113,1,61,0,0,0,331,331,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,157,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,1,204,57,0,27,0,2,1,292,292,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,158,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,0,267,127,0,23,0,0,0,417,417,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,159,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,0,225,126,0,50,0,0,0,401,401,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,160,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,2,168,160,2,59,2,0,0,393,393,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,161,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,2,225,198,4,28,1,0,0,458,458,669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,162,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,1,218,102,0,96,0,0,0,417,417,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,163,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,1,176,106,3,118,2,0,0,406,406,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,164,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,0,235,176,0,71,3,0,0,485,485,643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,165,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,0,105,7,0,24,0,0,0,136,136,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,166,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,2,657,145,1,214,0,0,0,1019,1019,1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,167,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,0,321,121,0,123,0,0,0,565,565,758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,168,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,2,340,100,0,172,0,0,0,614,614,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,169,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,5,422,191,0,54,1,0,0,673,673,903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,170,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,7,276,177,0,3,0,0,0,463,463,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,171,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,0,194,85,0,19,3,1,0,302,302,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,172,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,1,306,204,2,2,0,0,0,515,515,688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,173,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,10,375,210,0,57,1,0,0,653,653,940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,174,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,6,320,172,2,15,0,0,0,515,515,765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,175,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,3,383,270,0,89,3,0,0,748,748,1096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,176,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,7,298,312,4,49,4,1,1,676,676,1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,177,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,29,318,203,11,84,0,0,0,645,645,922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,178,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,1,73,94,0,6,1,0,0,175,175,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,179,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,32,373,189,0,29,1,0,0,624,624,782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,180,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,1,456,218,1,71,1,1,1,750,750,977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,181,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,1,168,25,0,6,0,0,0,200,200,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,4001,182,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734,0,64,30,0,2,0,0,0,96,96,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Campeche,4002,1,1997,PRI,ANTONIO GONZALEZ CURI,PRI,JOSE ANTONIO GONZALEZ CURI,PAN,,0.2456672943,166,87,71,0,4,2,0,1,331,331,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Campeche,4002,2,1997,PRI,ANTONIO GONZALEZ CURI,PRI,JOSE ANTONIO GONZALEZ CURI,PAN,,0.2456672943,171,103,113,0,22,3,0,0,412,412,586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Campeche,4002,3,1997,PRI,ANTONIO GONZALEZ CURI,PRI,JOSE ANTONIO GONZALEZ CURI,PAN,,0.2456672943,166,157,78,0,13,6,0,0,420,420,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Campeche,4002,4,1997,PRI,ANTONIO GONZALEZ CURI,PRI,JOSE ANTONIO GONZALEZ CURI,PAN,,0.2456672943,114,379,212,1,58,8,2,2,776,776,1238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Campeche,4002,5,1997,PRI,ANTONIO GONZALEZ CURI,PRI,JOSE ANTONIO GONZALEZ CURI,PAN,,0.2456672943,184,149,183,0,20,6,0,0,542,542,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
