ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MAS,PAN_PRD,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,Sonora,26,MOCTEZUMA,4,9,581,0,38,0,73,70,0,810,12,13,10,,,,,,,,,1373,2980,0,120,3100,4251,
26,Sonora,27,NACO,4,9,1212,1191,27,68,39,40,28,398,13,16,23,20,32,14,2,7,5,1,2,,3138,0,109,3247,4602,
26,Sonora,28,NACORI CHICO,2,4,235,0,9,0,15,455,0,295,6,9,2,,,,,,,,,202,1228,1,63,1292,1581,
26,Sonora,29,NACOZARI DE GARCIA,10,19,2457,0,161,0,117,110,0,1379,73,53,100,,,,,,,,,1730,6180,0,278,6458,10017,
26,Sonora,65,NAVOJOA,76,206,6720,18044,932,1039,1672,1134,1086,28425,509,689,155,364,339,75,28,490,352,37,170,,62260,22,1961,64243,120836,
26,Sonora,30,NOGALES,132,315,16578,14910,1602,1336,2173,7592,1153,30086,872,1082,372,344,268,68,17,443,324,44,93,,79357,53,2524,81934,189282,
26,Sonora,66,ONAVAS,1,2,12,0,2,0,30,11,0,104,3,2,26,,,,,147,1,3,2,327,670,0,15,685,877,
26,Sonora,51,OPODEPE,5,6,556,0,11,0,19,82,0,163,10,2,10,,,,,,,,,632,1485,0,74,1559,2170,
26,Sonora,31,OQUITOA,1,1,30,209,3,1,11,7,6,72,2,1,0,0,0,0,0,0,0,0,0,,342,0,14,356,475,
26,Sonora,52,PITIQUITO,6,13,652,1175,43,16,57,334,33,1489,20,23,13,26,20,6,2,24,6,1,6,,3946,2,112,4060,6220,
26,Sonora,53,PUERTO PEÑASCO,18,71,6660,21,261,2,553,722,10,5579,248,785,119,,,,,89,51,11,30,6800,21941,44,852,22837,45479,
26,Sonora,67,QUIRIEGO,3,6,35,0,5,0,9,35,0,382,0,55,158,,,,,889,3,0,1,763,2335,0,68,2403,3457,
26,Sonora,54,RAYON,2,3,253,0,20,0,14,37,0,266,18,4,0,,,,,,,,,763,1375,1,92,1468,2077,
26,Sonora,68,ROSARIO,5,9,29,0,10,0,38,30,0,653,9,4,44,,,,,955,5,1,4,1490,3272,1,79,3352,4740,
26,Sonora,32,SAHUARIPA,10,13,524,0,24,0,65,17,0,636,13,5,7,,,,,,,,,1527,2818,0,156,2974,4619,
26,Sonora,33,SAN FELIPE DE JESUS,1,1,150,0,3,0,38,4,0,57,1,1,3,,,,,,,,,178,435,0,24,459,531,
26,Sonora,72,SAN IGNACIO RIO MUERTO,8,21,199,0,364,0,128,622,0,2797,61,23,33,,,,,75,32,8,18,1428,5788,0,233,6021,10526,
26,Sonora,34,SAN JAVIER,1,1,134,0,9,0,60,6,0,118,2,17,5,,,,,,,,,208,559,0,20,579,700,
26,Sonora,55,SAN LUIS RIO COLORADO,91,260,11886,235,1179,1,2252,1475,2,22525,1362,856,208,,,,,556,311,55,202,12971,56076,67,1930,58073,150586,
26,Sonora,56,SAN MIGUEL DE HORCASITAS,4,9,374,0,38,0,203,200,0,782,50,198,5,,,,,,,,,1026,2876,15,242,3133,5540,
26,Sonora,35,SAN PEDRO DE LA CUEVA,3,5,522,0,14,0,10,10,0,190,3,3,5,,,,,,,,,735,1492,0,57,1549,2052,
26,Sonora,36,SANTA ANA,12,23,2008,0,151,0,235,154,0,1272,82,45,53,,,,,,,,,3042,7042,2,375,7419,12646,
26,Sonora,37,SANTA CRUZ,1,3,294,397,124,6,13,18,2,92,6,1,2,7,4,0,0,0,0,0,0,,966,0,45,1011,1440,
26,Sonora,38,SARIC,2,4,39,330,6,331,16,30,16,670,11,4,0,36,58,0,3,4,4,0,0,,1558,0,47,1605,2022,
26,Sonora,39,SOYOPA,5,5,508,0,30,0,67,24,0,721,24,11,2,,,,,,,,,267,1654,0,50,1704,1994,
26,Sonora,40,SUAQUI GRANDE,1,2,477,0,0,0,14,2,0,299,2,3,0,,,,,,,,,352,1149,0,42,1191,1402,
26,Sonora,41,TEPACHE,2,2,380,0,47,0,7,5,0,95,8,0,11,,,,,,,,,329,882,0,29,911,1392,
26,Sonora,42,TRINCHERAS,2,3,185,517,4,6,15,22,20,179,5,5,0,9,9,0,1,5,2,0,0,,984,0,42,1026,1565,
26,Sonora,43,TUBUTAMA,4,5,165,425,6,9,20,144,10,183,3,3,10,13,5,2,0,9,3,0,0,,1010,0,44,1054,1454,
26,Sonora,57,URES,13,19,898,0,345,0,100,134,0,1234,69,28,154,,,,,,,,,2584,5546,2,323,5871,9740,
26,Sonora,44,VILLA HIDALGO,3,4,103,0,70,0,15,26,0,402,7,186,34,,,,,,,,,452,1295,0,55,1350,1730,
26,Sonora,45,VILLA PESQUEIRA,3,4,139,0,30,0,26,108,0,301,13,219,3,,,,,,,,,620,1459,0,67,1526,1800,
26,Sonora,69,YECORA,7,11,65,0,16,0,69,30,0,492,18,9,78,,,,,857,8,2,10,1298,2952,0,125,3077,4417,
