ID_ESTADO,NOMBRE_ESTADO,DISTRITOS_LOCALES,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,RED,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,1,MONTERREY,38,177,8763,11315,854,6439,5810,4906,1418,8569,731,318,1554,2518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53195,31,1756,54982,120894,
19,NUEVO LEON,2,MONTERREY,78,227,13569,15145,625,3268,10217,6003,1273,11470,1196,207,,,921,2952,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67790,90,2809,70689,141729,
19,NUEVO LEON,3,MONTERREY,64,227,31161,15625,628,4553,3983,12468,1637,11628,996,522,,,,,,1893,4006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89100,75,2607,91782,146518,
19,NUEVO LEON,4,MONTERREY,172,287,24956,14606,694,5193,2049,32525,1584,9516,703,307,,,,,,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94115,141,2508,96764,153740,
19,NUEVO LEON,5,APODACA,127,276,20933,18546,634,2964,2465,7136,1595,18254,1195,291,,,,,,,,,5353,1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81075,13,1992,83080,158164,
19,NUEVO LEON,6,MONTERREY,230,324,26326,18306,645,5825,2819,9615,1713,14960,1245,448,,,,,,,,,,,2364,4030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88296,92,2929,91317,162322,
19,NUEVO LEON,7,APODACA,94,217,12815,15941,510,3149,2091,5423,1825,14746,1226,301,,,,,,,,,,,,,6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,64490,57,1472,66019,127323,
19,NUEVO LEON,8,MONTERREY,73,237,32181,11605,675,2956,1572,18265,1564,9029,700,373,,,,,,,,,,,,,,2398,2220,,,,,,,,,,,,,,,,,,,,,,,,,,83538,51,2675,86264,143958,
19,NUEVO LEON,9,SAN NICOLAS,93,243,35270,6399,597,3276,2373,7845,3263,13527,950,479,,,,,,,,,,,,,,,,3073,5032,,,,,,,,,,,,,,,,,,,,,,,,82084,96,2184,84364,144107,
19,NUEVO LEON,10,SAN NICOLAS,91,248,34105,8715,686,3069,2533,9900,1545,14779,1300,495,,,,,,,,,,,,,,,,,,3577,1768,2396,,,,,,,,,,,,,,,,,,,,,84868,123,2500,87491,146614,
19,NUEVO LEON,11,SAN NICOLAS,111,247,31285,10915,841,2765,9007,7902,1528,10995,879,548,,,,,,,,,,,,,,,,,,,,,3170,2368,,,,,,,,,,,,,,,,,,,82203,122,2260,84585,144018,
19,NUEVO LEON,12,GUADALUPE,91,233,23226,15158,1164,3311,2315,8916,2848,13017,1098,451,,,,,,,,,,,,,,,,,,,,,,,6322,1554,,,,,,,,,,,,,,,,,79380,66,2562,82008,137454,
19,NUEVO LEON,13,GUADALUPE,57,211,15730,15047,1003,1967,2361,6859,2080,13710,1183,315,,,,,,,,,,,,,,,,,,,,,,,,,6452,,,,,,,,,,,,,,,,66707,72,2178,68957,135556,
19,NUEVO LEON,14,GUADALUPE,53,200,16548,14032,749,2800,2309,6741,1782,12789,1309,246,,,,,,,,,,,,,,,,,,,,,,,,,,5327,1770,,,,,,,,,,,,,,66402,28,1996,68426,126282,
19,NUEVO LEON,15,GUADALUPE,97,240,23979,16617,844,5951,2406,7750,2744,14363,1496,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,7003,,,,,,,,,,,,,83741,125,2683,86549,142121,
19,NUEVO LEON,16,APODACA,75,217,18452,15115,507,2952,2459,6971,2154,16378,1003,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5756,,,,,,,,,,,,72131,44,1695,73870,130496,
19,NUEVO LEON,17,ESCOBEDO,45,230,17189,15141,708,6181,3336,6959,1569,14028,1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4610,,,,,,,,,,,70883,32,1825,72740,150069,
19,NUEVO LEON,18,SAN PEDRO,88,264,46567,10621,496,2848,1501,12547,2448,10072,820,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3776,1654,,,,,,,,,94681,183,2513,97377,160187,
19,NUEVO LEON,19,SANTA CATARINA,61,243,36353,8565,501,3054,2260,8449,3017,13376,1448,1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6768,,,,,,,,85014,83,2769,87866,156416,
19,NUEVO LEON,20,GARCIA,137,341,11452,12460,1759,5522,5784,6380,3459,19389,1481,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20052,,,,,,,89538,49,2636,92223,199774,
19,NUEVO LEON,21,SABINAS HIDALGO,127,292,24162,19567,1344,5255,4231,4903,4526,10914,844,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11738,,,,,,87838,57,2892,90787,167901,
19,NUEVO LEON,22,JUAREZ,91,242,8582,15218,1002,3378,1886,6226,2755,12234,2078,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8034,,,,,61908,59,1845,63812,143533,
19,NUEVO LEON,23,JUAREZ,138,334,11038,17781,936,16090,3277,7769,2311,18964,2278,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9491,,,,90443,149,3064,93656,197736,
