ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
11,GUANAJUATO,1,DOLORES HIDALGO C.I.N.,150,298,28585,22487,3614,14416,2762,420,2763,1208,1728,463,0,23,78469,3303,81772,162955,0.5018
11,GUANAJUATO,2,SAN LUIS DE LA PAZ,157,348,40087,25656,7458,14704,1328,1792,4877,2256,1211,1449,0,81,100899,4392,105291,195858,0.5376
11,GUANAJUATO,3,LEON,121,286,46784,11660,921,4989,662,1925,2172,2076,1599,3009,657,154,76608,3595,80203,166616,0.4814
11,GUANAJUATO,4,LEON,217,487,59505,24354,1664,8289,1240,2701,3771,3171,2887,5024,1460,188,114254,4572,118826,291968,0.407
11,GUANAJUATO,5,LEON,141,353,43156,14510,1047,7252,679,2615,2389,2243,1743,3138,1112,95,79979,3170,83149,206726,0.4022
11,GUANAJUATO,6,LEON,146,243,32992,12857,760,4286,580,1244,2042,1707,1467,2761,744,53,61493,2402,63895,143098,0.4465
11,GUANAJUATO,7,LEON,111,359,44589,15871,1279,6433,907,1959,2518,3168,2126,3853,893,80,83676,3491,87167,220040,0.3961
11,GUANAJUATO,8,GUANAJUATO,128,350,26286,21867,9551,7007,1022,829,2980,4107,1763,1791,0,144,77347,3869,81216,205508,0.3952
11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,141,315,32690,23074,1758,5227,2148,1720,3226,2349,5499,2388,0,55,80134,4589,84723,177683,0.4768
11,GUANAJUATO,10,SAN FRANCISCO DEL RINCON,164,387,38482,31696,5470,13892,652,457,4707,2448,760,1560,0,78,100202,3331,103533,224133,0.4619
11,GUANAJUATO,11,IRAPUATO,123,317,30505,25222,1338,3803,633,1263,2429,2754,978,1963,936,105,71929,2873,74802,194781,0.384
11,GUANAJUATO,12,IRAPUATO,126,317,29476,25472,1398,3742,732,1320,2487,2726,936,1837,0,124,70250,3425,73675,188555,0.3907
11,GUANAJUATO,13,SALAMANCA,124,305,31727,18010,4165,14506,1069,1452,2344,3176,1755,2402,0,60,80666,2624,83290,182154,0.4573
11,GUANAJUATO,14,SALAMANCA,124,262,25971,10465,9693,12302,838,1662,2843,3127,2632,1568,0,60,71161,2671,73832,151717,0.4866
11,GUANAJUATO,15,CELAYA,114,338,28056,15244,4936,6975,2235,6415,8301,6273,4872,3938,1734,129,89108,4243,93351,197293,0.4732
11,GUANAJUATO,16,CELAYA,139,329,30872,17084,2086,6952,1968,4974,3568,4742,2386,3252,1061,112,79057,2962,82019,195143,0.4203
11,GUANAJUATO,17,APASEO EL GRANDE,136,348,31725,20745,5853,7722,1108,14093,2855,2580,1555,1363,0,55,89654,3823,93477,197658,0.4729
11,GUANAJUATO,18,PENJAMO,164,323,41321,15698,13846,4372,1118,292,2172,1238,896,783,0,35,81771,3749,85520,172082,0.497
11,GUANAJUATO,19,VALLE DE SANTIAGO,176,277,27206,18519,7320,6159,1044,1824,5771,2765,4685,968,0,36,76297,2209,78506,154521,0.5081
11,GUANAJUATO,20,YURIRIA,128,273,19280,24877,5075,18239,861,1412,4289,1749,5353,682,0,15,81832,2689,84521,156231,0.541
11,GUANAJUATO,21,SALVATIERRA,139,277,24702,19717,10262,8118,1157,894,2841,2798,716,1255,0,35,72495,2668,75163,153221,0.4906
11,GUANAJUATO,22,ACAMBARO,168,294,21665,14068,13698,11848,1056,2412,2963,1103,445,596,0,39,69893,3402,73295,153918,0.4762
