ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
26,SONORA,1,SAN LUIS RIO COLORADO,73,143,14302,11343,520,1084,271,318,618,1921,0,1398,39,180,13,18,0,0,25,32025,1438,33488,76350,0.4386
26,SONORA,2,PUERTO PEÑASCO,44,178,23499,15741,2076,1256,419,1681,940,2009,0,1541,76,235,31,0,0,0,42,49504,1199,50745,115092,0.4409
26,SONORA,3,CABORCA,77,169,15445,24502,1605,835,1269,1197,1025,2523,0,561,136,183,56,25,0,0,11,49362,1104,50477,92111,0.548
26,SONORA,4,NOGALES NORTE,49,114,10599,9311,512,527,334,2797,520,1428,302,351,61,151,23,4,0,0,23,26920,770,27713,65158,0.4253
26,SONORA,5,NOGALES SUR,94,200,20798,17177,1091,1148,880,6944,0,1465,1166,975,0,0,0,0,0,0,55,51644,1598,53297,120732,0.4414
26,SONORA,6,CANANEA,88,165,24323,0,3909,0,1276,2390,17690,1301,0,988,0,0,0,0,0,0,32,51877,3106,55015,88954,0.6185
26,SONORA,7,AGUA PRIETA,66,159,26084,0,2375,0,1918,659,17092,972,0,261,0,0,0,0,0,0,38,49361,2091,51490,90616,0.5682
26,SONORA,8,HERMOSILLO NOROESTE,70,200,23052,19170,1316,1389,720,2775,1262,1997,1305,1093,221,675,54,5,0,0,29,55034,1689,56752,122540,0.4631
26,SONORA,9,HERMOSILLO CENTRO,79,176,21449,23775,1567,1404,654,2947,1108,2961,0,1358,216,508,38,2,0,0,86,57987,2147,60220,102651,0.5866
26,SONORA,10,HERMOSILLO NORESTE,45,157,22127,20934,1114,1283,575,1994,1101,2108,753,1050,245,689,38,5,0,0,51,54016,1864,55931,101542,0.5508
26,SONORA,11,HERMOSILLO COSTA,141,235,21266,24621,1286,1485,784,2604,1351,1954,0,1170,327,686,40,10,0,0,57,57584,1951,59592,122526,0.4864
26,SONORA,12,HERMOSILLO SUR,82,183,18312,18673,971,980,937,1404,995,1516,0,1835,194,535,48,8,1365,0,91,47773,1452,49316,103412,0.4769
26,SONORA,13,GUAYMAS,81,168,17331,13694,1065,427,8609,941,738,2271,256,359,65,167,26,4,0,0,19,45953,1222,47194,93901,0.5026
26,SONORA,14,EMPALME,61,145,11789,13126,6520,5085,887,574,2223,1267,0,1969,0,0,0,0,0,0,3,43440,1704,45147,81071,0.5569
26,SONORA,15,OBREGON SUR,57,143,10292,14218,798,570,345,3045,911,1295,350,525,94,284,37,12,0,3225,59,36001,1156,37216,83241,0.4471
26,SONORA,16,OBREGON SURESTE,73,152,10689,18326,1047,599,322,3056,683,1370,347,501,134,305,26,16,0,0,19,37421,992,38432,82866,0.4638
26,SONORA,17,OBREGON CENTRO,62,148,11267,20517,773,721,433,4693,1239,1930,506,705,168,326,57,9,0,0,44,43344,1173,44561,88341,0.5044
26,SONORA,18,OBREGON NORTE,90,164,16766,22195,1186,1061,231,1879,899,847,276,556,203,345,33,8,0,0,4,46485,1132,47621,86875,0.5482
26,SONORA,19,NAVOJOA NORTE,59,137,19048,17610,1530,737,381,745,765,1127,0,425,66,285,29,4,0,0,34,42752,1124,43910,79476,0.5525
26,SONORA,20,ETCHOJOA,72,166,21049,21569,7655,707,578,714,1302,966,0,400,199,421,71,8,0,0,26,55639,1553,57218,94409,0.6061
26,SONORA,21,HUATABAMPO,70,140,22659,19411,3634,405,297,313,749,496,0,149,355,630,83,17,0,0,10,49198,1072,50280,75746,0.6638
