ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PCP,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_PT,PRI_PVEM,PRI_PVEM_NVA_ALIANZA,PRD_PT,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
24,SAN LUIS POTOSI,1,MATEHUALA,156,249,19471,,,2280,,1274,1289,2586,3631,,836,,29590,,,,64,61021,3178,64199,119752,0.5361
24,SAN LUIS POTOSI,2,CERRITOS,146,197,15626,,,,,1943,1967,,1440,,412,,,28056,5162,,20,54626,3746,58372,84989,0.6868
24,SAN LUIS POTOSI,3,SANTA MARIA DEL RIO,119,202,14278,,5530,2523,,6395,3086,3219,1046,1034,405,,26610,,,,55,64181,4069,68250,101272,0.6739
24,SAN LUIS POTOSI,4,SALINAS,143,247,17896,,,,,4796,4731,4127,1340,,1820,,26020,,14940,,60,75730,5963,81693,122493,0.6669
24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,78,221,15048,,15919,989,,3471,1292,,2583,1479,2021,,,16214,,,364,59380,3947,63327,135456,0.4675
24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,104,253,16050,,19179,1475,,3027,2881,,3220,2347,2187,,,15267,,,513,66146,4678,70824,150423,0.4708
24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,112,261,29018,8929,12837,1267,7344,1308,1694,4750,7059,1407,2154,,,,,,1395,79162,5879,85041,152030,0.5594
24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,78,219,15615,,18713,1057,,3578,1964,1388,2708,1242,1452,,11775,,,,712,60204,3711,63908,134909,0.4527
24,SAN LUIS POTOSI,9,SOLEDAD DE GRACIANO SANCHEZ,89,301,8942,,31949,2566,,9136,1486,,4317,2605,1551,,,18779,,,377,81708,4910,86618,191977,0.4512
24,SAN LUIS POTOSI,10,RIOVERDE,145,236,23040,,1758,2176,,1935,1523,,1354,506,1018,,,30127,,,74,63511,2708,66219,119459,0.5543
24,SAN LUIS POTOSI,11,CARDENAS,129,211,,,,,,1017,1010,3505,799,,633,30815,22348,,,,25,60152,4175,64327,98272,0.6546
24,SAN LUIS POTOSI,12,CIUDAD VALLES,105,219,17378,,5353,696,,3232,7663,,1624,2343,1277,,,15713,,,31,55310,2493,57803,123376,0.4685
24,SAN LUIS POTOSI,13,TAMUIN,151,234,,,4092,,,1276,3323,7006,4494,1321,748,26802,24702,,,,63,73827,5130,78957,115126,0.6858
24,SAN LUIS POTOSI,14,TANCANHUITZ,119,217,28017,,,1987,,871,2998,,1132,1274,216,,,37378,,,49,73922,5120,79042,111502,0.7089
24,SAN LUIS POTOSI,15,TAMAZUNCHALE,112,212,24730,,,,,,1129,,3023,794,1111,,,25285,,13093,14,69179,5129,74308,113598,0.6541
