CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,C_COMUN_PRI_PVEM_NA_PS,C_COMUN_PRI_PVEM_PS,PRI,PVEM,PS,PRD,PT,MC,NA,PAC,MORENA,ES,PAN_PRD_PAC,PAN_PRD,PAN_PAC,PRD_PAC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,B,1,0,B,34,65,,,,,5,21,15,,25,147,16,3,0,0,0,6,2,0,1,340,0,23,363,681,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,1,0,C01,34,60,,,,,13,20,10,,32,149,20,1,2,0,4,1,0,0,2,348,0,15,363,681,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,2,0,C02,53,70,,,,,11,11,11,,23,142,17,1,1,1,1,6,1,0,2,351,0,20,371,680,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,3,0,C03,38,65,,,,,9,17,12,,16,167,14,2,1,1,0,6,1,0,1,350,0,22,372,680,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,4,0,C04,39,49,,,,,8,13,18,,26,148,19,2,0,2,1,6,3,0,2,336,1,27,364,680,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,5,0,C05,45,61,,,,,11,15,8,,25,160,11,1,0,0,0,7,1,0,2,347,0,17,364,680,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,B,1,0,B,37,75,,,,,12,15,9,,38,201,22,2,0,0,0,6,1,0,3,421,0,15,436,710,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,C,1,0,C01,41,66,,,,,5,27,13,,40,197,15,1,0,0,0,3,4,2,0,414,0,26,440,709,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,C,2,0,C02,51,75,,,,,11,19,8,,31,178,18,0,1,1,1,8,2,1,1,406,0,13,419,709,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,S,1,0,SMR01,6,13,,,,,0,3,0,,2,23,0,0,0,0,0,0,0,0,0,47,0,0,47,0,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,S,1,0,SRP01,6,,,7,2,1,2,4,1,1,3,45,1,,,,,,,,,73,1,4,78,0,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,80,B,1,0,B,54,89,,,,,9,8,15,,29,205,18,0,2,0,0,3,3,4,0,439,3,20,462,699,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,80,C,1,0,C01,40,72,,,,,9,18,13,,23,171,15,5,1,0,0,5,2,0,4,378,0,24,402,698,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,81,B,1,0,B,36,49,,,,,10,19,12,,26,170,13,3,0,2,0,6,3,0,4,353,0,9,362,589,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,81,C,1,0,C01,39,48,,,,,6,24,5,,14,166,19,1,0,0,0,3,4,0,1,330,0,18,348,589,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,81,C,2,0,C02,48,55,,,,,9,13,4,,28,165,11,1,0,1,0,2,0,1,1,339,0,18,357,589,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,82,B,1,0,B,66,72,,,,,7,19,12,,22,166,16,0,1,0,1,6,0,1,2,391,1,16,408,689,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,82,C,1,0,C01,58,54,,,,,8,13,13,,39,193,11,4,0,1,0,4,1,0,3,402,0,10,412,688,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,82,C,2,0,C02,40,53,,,,,10,27,13,,29,187,12,0,0,0,0,10,2,0,0,383,0,14,397,688,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,83,B,1,0,B,38,64,,,,,8,8,15,,41,156,17,0,1,0,0,3,0,0,0,351,0,20,371,626,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,83,C,1,0,C01,43,72,,,,,8,12,6,,37,159,13,0,1,2,0,7,0,0,3,363,0,11,374,626,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,83,C,2,0,C02,56,61,,,,,5,17,11,,31,143,7,0,0,0,0,12,3,0,2,348,0,23,371,625,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,83,C,3,0,C03,44,55,,,,,6,7,10,,25,160,12,1,0,0,0,4,4,0,4,332,0,18,350,625,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,84,B,1,0,B,54,86,,,,,8,14,16,,67,162,18,1,0,0,0,4,0,0,3,433,0,25,458,728,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,85,B,1,0,B,38,47,,,,,7,21,16,,36,206,7,4,1,0,0,6,5,0,2,396,0,16,412,693,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,85,C,1,0,C01,40,63,,,,,8,23,10,,39,185,23,2,1,2,0,7,2,0,6,411,0,18,429,693,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,85,C,2,0,C02,44,62,,,,,10,21,8,,25,197,8,1,0,0,0,9,0,1,6,392,0,18,410,692,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,86,B,1,0,B,62,75,,,,,5,12,8,,31,158,5,1,2,1,0,0,5,2,3,370,0,9,379,588,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,86,C,1,0,C01,48,63,,,,,7,16,5,,36,168,7,0,2,0,0,0,3,0,5,360,1,14,375,588,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,86,C,2,0,C02,45,78,,,,,5,12,10,,37,164,6,0,1,0,0,6,0,0,3,367,0,30,397,587,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,87,B,1,0,B,42,48,,,,,10,11,7,,18,143,9,0,1,0,0,0,1,0,3,293,0,9,302,490,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,87,C,1,0,C01,8,65,,,,,10,8,3,,20,151,10,0,0,0,0,0,0,0,0,275,0,0,275,490,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,88,B,1,0,B,62,56,,,,,12,12,14,,37,209,17,1,0,0,0,5,4,0,0,429,0,21,450,687,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,88,C,1,0,C01,61,81,,,,,4,14,14,,26,223,14,0,1,0,0,12,0,0,0,450,0,25,475,686,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,89,B,1,0,B,61,78,,,,,4,16,11,,43,198,11,1,1,1,0,4,3,0,2,434,0,20,454,700,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,89,C,1,0,C01,70,87,,,,,8,12,7,,36,201,8,3,1,0,0,4,2,0,2,441,1,22,464,699,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,89,C,2,0,C02,62,99,,,,,11,8,11,,49,149,8,1,0,0,0,12,2,0,1,413,0,25,438,699,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,90,B,1,0,B,54,50,,,,,8,18,21,,31,161,10,3,1,0,0,6,2,0,2,367,0,17,384,678,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,90,C,1,0,C01,48,58,,,,,7,18,10,,39,189,14,1,0,0,0,5,2,0,4,395,0,16,411,678,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,90,C,2,0,C02,53,71,,,,,12,13,17,,34,152,12,3,2,2,0,4,2,0,0,377,0,18,395,678,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,90,C,3,0,C03,52,44,,,,,7,17,15,,44,165,22,2,3,0,0,7,1,1,2,382,0,21,403,678,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,91,B,1,0,B,79,69,,,,,6,26,11,,19,219,10,0,0,0,0,7,0,0,6,452,0,13,465,743,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,92,B,1,0,B,56,72,,,,,16,17,9,,23,199,12,2,0,2,0,5,3,1,1,418,0,8,426,660,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,92,C,1,0,C01,69,64,,,,,8,29,8,,25,188,8,1,3,2,0,5,1,0,1,412,0,0,412,660,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,92,C,2,0,C02,60,54,,,,,11,17,8,,43,191,11,3,0,1,1,4,1,0,3,408,0,12,420,659,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,93,B,1,0,B,56,51,,,,,14,37,26,,17,194,12,2,0,2,0,10,4,0,3,428,0,9,437,641,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,93,C,1,0,C01,75,65,,,,,8,25,18,,23,167,7,1,1,0,0,9,2,0,4,405,1,11,417,640,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,94,B,1,0,B,19,67,,,,,4,8,9,,11,176,5,0,0,0,0,5,1,0,2,307,0,8,315,435,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,94,C,1,0,C01,20,53,,,,,8,22,5,,11,165,0,0,0,0,0,11,2,0,2,299,0,6,305,435,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,95,B,1,0,B,47,67,,,,,10,16,6,,3,101,7,2,2,0,1,0,0,1,0,263,0,13,276,440,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,96,B,1,0,B,63,80,,,,,8,12,3,,49,117,4,0,1,0,0,3,2,0,3,345,0,8,353,638,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,97,B,1,0,B,32,66,,,,,6,25,3,,11,103,9,0,0,0,0,13,2,0,0,270,0,18,288,459,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,97,C,1,0,C01,24,49,,,,,5,23,2,,20,117,7,0,0,0,0,8,0,0,4,259,0,10,269,459,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,98,B,1,0,B,87,89,,,,,9,17,7,,12,96,11,2,0,0,0,9,3,0,2,344,0,17,361,607,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,98,C,1,0,C01,84,72,,,,,6,15,11,,9,73,7,3,1,1,0,2,2,1,4,291,0,15,306,514,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,98,C,2,0,C02,81,67,,,,,9,22,5,,13,78,5,1,4,1,0,3,3,0,1,293,0,11,304,514,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,292,B,1,0,B,53,111,,,,,8,15,8,,39,171,9,0,0,0,0,3,1,0,7,425,0,11,436,710,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,292,C,1,0,C01,47,98,,,,,8,25,10,,48,154,18,1,0,1,0,5,0,2,2,419,0,14,433,709,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,293,B,1,0,B,13,50,,,,,3,3,1,,3,22,1,1,0,0,0,0,0,0,0,97,0,1,98,143,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,294,B,1,0,B,24,122,,,,,13,12,10,,22,130,5,0,1,3,0,4,1,0,3,350,0,15,365,565,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,294,C,1,0,C01,43,78,,,,,8,14,5,,36,128,13,1,0,1,1,7,2,0,1,338,0,14,352,563,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,294,C,2,0,C02,36,69,,,,,10,17,5,,35,133,14,2,0,0,0,8,3,2,1,335,0,19,354,563,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,294,C,3,0,C03,29,97,,,,,6,15,8,,20,144,11,0,0,0,1,13,2,0,0,346,0,15,361,562,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,297,B,1,0,B,68,62,,,,,32,24,15,,11,190,8,0,0,0,0,3,4,0,2,419,0,13,432,696,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,297,C,1,0,C01,80,80,,,,,19,35,4,,15,190,5,1,0,0,0,11,3,0,5,448,1,8,457,696,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,298,B,1,0,B,58,50,,,,,15,8,6,,3,146,7,0,1,0,0,3,0,0,3,300,0,5,305,468,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,298,C,1,0,C01,48,37,,,,,14,14,3,,10,147,3,2,0,1,0,4,1,0,0,284,0,14,298,467,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,298,E,1,0,E01,16,51,,,,,20,10,2,,4,119,4,0,2,0,0,1,1,0,0,230,0,7,237,402,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,299,B,1,0,B,49,85,,,,,7,18,7,,10,139,2,2,0,0,0,4,1,0,1,325,1,14,340,668,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,299,C,1,0,C01,50,100,,,,,12,18,9,,7,157,7,0,1,0,0,2,3,0,0,366,0,16,382,668,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,299,C,2,0,C02,41,77,,,,,7,33,10,,12,148,11,4,0,2,0,3,0,2,2,352,0,20,372,668,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,299,C,3,0,C03,39,76,,,,,7,30,17,,8,146,7,2,0,0,0,12,1,1,1,347,0,18,365,667,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,300,B,1,0,B,85,133,,,,,5,15,11,,22,132,11,5,0,1,0,7,0,0,1,428,0,18,446,686,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,300,C,1,0,C01,60,110,,,,,1,31,14,,17,152,10,3,1,2,0,7,1,0,0,409,0,15,424,686,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,301,B,1,0,B,45,128,,,,,3,18,7,,9,126,9,2,0,1,0,1,1,0,2,352,0,12,364,589,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,301,C,1,0,C01,52,120,,,,,6,19,9,,8,105,7,2,1,0,2,2,0,0,0,333,0,22,355,589,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,301,C,2,0,C02,51,116,,,,,4,20,12,,14,120,3,3,0,1,0,5,2,0,2,353,0,9,362,589,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,301,C,3,0,C03,40,108,,,,,6,15,6,,11,112,7,2,0,0,0,3,1,0,0,311,0,9,320,589,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,302,B,1,0,B,44,97,,,,,6,22,12,,11,152,9,1,1,0,0,4,4,0,0,363,0,13,376,611,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,302,C,1,0,C01,39,92,,,,,12,17,8,,12,126,9,0,0,0,0,9,1,0,0,325,0,9,334,610,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,302,C,2,0,C02,32,109,,,,,14,30,7,,6,130,11,2,0,0,0,6,2,0,0,349,0,16,365,610,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,302,C,3,0,C03,41,93,,,,,7,23,11,,8,135,12,2,0,0,0,8,0,0,0,340,0,10,350,610,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,303,B,1,0,B,33,65,,,,,1,14,6,,13,97,7,1,1,0,0,3,3,0,3,247,0,11,258,405,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,303,C,1,0,C01,41,93,,,,,6,11,0,,2,94,7,0,1,0,0,0,3,1,0,259,0,14,273,405,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,304,B,1,0,B,41,78,,,,,7,21,6,,3,117,11,0,0,0,0,3,0,0,4,291,0,11,302,476,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,304,C,1,0,C01,40,78,,,,,8,15,11,,14,117,6,1,1,0,0,4,0,0,0,295,0,0,295,476,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,305,B,1,0,B,50,83,,,,,2,5,5,,10,64,4,3,0,0,0,0,0,0,2,228,0,13,241,359,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,306,B,1,0,B,19,30,,,,,2,2,3,,0,28,1,0,0,0,0,0,1,0,1,87,0,2,89,169,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,307,B,1,0,B,37,110,,,,,5,12,6,,35,110,2,4,0,0,0,7,0,0,0,328,0,0,328,540,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,308,B,1,0,B,84,97,,,,,10,10,6,,27,161,7,3,0,1,0,3,1,0,1,411,0,20,431,627,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,308,C,1,0,C01,67,121,,,,,15,13,12,,21,154,9,6,0,1,0,3,0,0,0,422,0,12,434,626,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,60,BENITO JUAREZ,295,B,1,0,B,29,85,,,,,55,15,6,,10,181,8,0,0,0,0,0,0,0,1,390,0,6,396,662,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,60,BENITO JUAREZ,295,C,1,0,C01,38,78,,,,,63,16,8,,18,188,4,0,0,1,0,8,2,0,1,425,0,10,435,662,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,60,BENITO JUAREZ,295,C,2,0,C02,34,76,,,,,50,27,3,,18,155,9,0,0,0,0,5,3,0,2,382,1,18,401,662,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,60,BENITO JUAREZ,295,C,3,0,C03,37,72,,,,,44,12,6,,22,162,10,0,1,0,0,3,4,0,3,376,0,17,393,661,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,60,BENITO JUAREZ,296,B,1,0,B,26,58,,,,,29,7,4,,13,173,4,0,0,1,0,4,4,0,1,324,0,14,338,545,Acta levantada en consejo,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,60,BENITO JUAREZ,296,C,1,0,C01,35,51,,,,,33,9,8,,18,147,6,0,1,0,0,0,9,1,1,319,0,13,332,544,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,60,BENITO JUAREZ,296,C,2,0,C02,18,75,,,,,37,8,3,,9,138,6,0,1,0,0,3,2,0,2,302,0,26,328,544,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,49,B,1,0,B,52,,66,,,,16,17,2,25,7,163,13,0,1,0,1,5,3,0,2,373,46,19,438,704,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,50,B,1,0,B,34,,39,,,,9,5,1,31,3,44,3,0,0,0,0,5,0,0,0,174,49,10,233,348,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,51,B,1,0,B,29,,47,,,,5,6,2,10,3,47,4,0,0,0,0,1,1,0,1,156,43,15,214,321,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,52,B,1,0,B,12,,10,,,,4,6,0,2,0,15,2,0,0,0,0,0,1,0,0,52,16,4,72,101,Acta levantada en consejo,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,53,B,1,0,B,58,,65,,,,6,29,1,21,4,96,4,2,0,0,0,3,1,0,0,290,45,8,343,548,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,53,C,1,0,C01,37,,38,,,,8,19,3,18,3,100,2,0,0,0,0,3,0,0,0,231,51,18,300,547,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,54,B,1,0,B,23,,33,,,,6,11,3,15,3,56,3,0,0,0,0,0,0,0,2,155,76,15,246,407,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,55,B,1,0,B,35,,19,,,,7,7,3,21,4,42,3,0,2,1,0,2,1,1,0,148,25,12,185,333,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,56,B,1,0,B,32,,37,,,,8,14,5,28,4,100,2,1,2,0,1,2,1,1,1,239,138,28,405,610,Acta levantada en consejo,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,56,C,1,0,C01,33,,22,,,,9,28,6,55,5,75,6,1,0,0,0,4,2,0,2,248,152,16,416,609,Acta levantada en consejo,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,57,B,1,0,B,25,,28,,,,3,5,0,26,1,58,2,0,0,1,0,1,2,0,1,153,54,21,228,358,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,31,TETLA DE LA SOLIDARIDAD,409,B,1,0,B,45,,44,,,,11,25,4,11,5,148,10,1,1,0,0,4,4,0,4,317,82,20,419,683,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,31,TETLA DE LA SOLIDARIDAD,409,C,1,0,C01,37,,35,,,,11,24,1,22,4,142,8,0,0,0,0,4,4,0,2,294,57,15,366,682,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,31,TETLA DE LA SOLIDARIDAD,410,B,1,0,B,33,,51,,,,9,25,2,7,5,147,3,0,0,0,0,5,2,0,0,289,85,24,398,623,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,31,TETLA DE LA SOLIDARIDAD,410,C,1,0,C01,22,,48,,,,12,23,4,13,1,123,5,0,0,1,0,1,4,2,0,259,90,36,385,623,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,31,TETLA DE LA SOLIDARIDAD,411,B,1,0,B,61,,34,,,,11,18,5,11,6,144,5,3,2,0,0,2,1,0,1,304,46,20,370,664,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,31,TETLA DE LA SOLIDARIDAD,411,C,1,0,C01,51,,24,,,,27,21,5,6,5,145,5,1,3,0,0,4,3,1,2,303,84,17,404,663,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,31,TETLA DE LA SOLIDARIDAD,411,C,2,0,C02,59,,31,,,,28,23,7,13,4,146,5,0,1,1,0,2,2,0,0,322,57,22,401,663,Acta  casilla,,,
1,29,TLAXCALA,2,TLAXCO DE MORELOS,31,TETLA DE LA SOLIDARIDAD,411,C,3,0,C03,45,,35,,,,21,22,7,9,5,141,5,1,0,0,0,4,1,0,1,297,66,19,382,663,Acta levantada en consejo,,,
