ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COALICION_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,46,144,925,15135,8880,803,1075,2296,1375,2340,1743,601,986,547,514,25,37220,2747,39992,83128,0.481
12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,57,156,1006,16399,10298,886,1347,2209,1032,3083,0,987,1228,851,666,74,39992,3114,43180,91879,0.4699
12,GUERRERO,3,ACAPULCO DE JUAREZ,69,183,5139,13243,9425,897,3254,4591,1450,2820,532,1204,901,808,660,90,44924,3289,48303,96657,0.4997
12,GUERRERO,4,ACAPULCO DE JUAREZ,79,176,4218,12749,10459,877,1900,3734,1369,2435,742,1853,731,835,711,49,42613,2903,45565,95120,0.479
12,GUERRERO,5,ACAPULCO DE JUAREZ,58,154,2371,10473,11065,1213,1351,3411,641,1686,303,519,513,435,810,40,34791,2247,37078,92768,0.3996
12,GUERRERO,6,ACAPULCO DE JUAREZ,53,141,2527,13339,9097,772,1774,2829,983,1930,339,557,699,812,751,42,36409,2376,38827,86249,0.4501
12,GUERRERO,7,ACAPULCO DE JUAREZ,39,148,2686,16706,0,7321,2472,2859,919,1515,508,1347,698,978,0,42,38009,2402,40453,91593,0.4416
12,GUERRERO,8,ACAPULCO DE JUAREZ,80,156,1924,15381,6792,645,6589,6185,719,1298,2998,289,435,261,133,22,43649,2394,46065,81115,0.5678
12,GUERRERO,9,ACAPULCO DE JUAREZ,62,147,2011,12191,12073,1618,2162,3002,1450,1722,546,644,565,509,445,22,38938,3104,42064,83615,0.503
12,GUERRERO,10,TECPAN DE GALEANA,119,184,341,19617,16646,355,1119,3808,1219,2820,360,0,717,437,0,20,47439,2266,49725,85282,0.583
12,GUERRERO,11,ZIHUATANEJO DE AZUETA,108,181,820,14471,18708,935,1013,2508,841,1919,681,517,322,279,0,44,43014,1925,44983,85811,0.5242
12,GUERRERO,12,ZIHUATANEJO DE AZUETA,101,182,686,12559,19118,609,3836,3148,1642,1912,882,679,380,104,0,17,45555,1749,47321,84840,0.5577
12,GUERRERO,13,SAN MARCOS,110,172,6156,10843,9355,3131,14549,2786,1256,1778,1316,157,524,575,319,31,52745,4054,56830,81432,0.6978
12,GUERRERO,14,AYUTLA DE LOS LIBRES,100,158,318,5329,21401,1027,11621,2340,810,678,683,0,2126,2232,0,53,48565,2689,51307,74737,0.6865
12,GUERRERO,15,SAN LUIS ACATLAN,105,168,2440,12734,14875,1618,3773,8817,1165,1711,982,384,640,486,0,20,49625,3045,52690,75802,0.6951
12,GUERRERO,16,OMETEPEC,67,139,8678,14678,12228,3014,774,3542,569,1480,808,652,269,628,1087,28,48407,2330,50765,70916,0.7158
12,GUERRERO,17,COYUCA DE CATALAN,160,209,658,24201,23126,757,1318,4480,245,1120,159,77,60,379,0,5,56580,1727,58312,89337,0.6527
12,GUERRERO,18,PUNGARABATO,150,225,556,25192,28444,412,304,542,694,3200,116,0,157,285,0,6,59902,1605,61513,97275,0.6323
12,GUERRERO,19,EDUARDO NERI,96,151,2591,18045,16731,542,323,1807,461,1007,472,0,495,600,0,10,43074,2026,45110,70045,0.644
12,GUERRERO,20,TELOLOAPAN,184,224,508,11122,13999,1852,814,13071,3490,1404,215,444,201,85,351,76,47556,2337,49969,79678,0.6271
12,GUERRERO,21,TAXCO DE ALARCON,126,206,15127,17976,4079,2512,2962,1447,2208,1265,1083,0,5768,572,117,36,55116,2783,57935,96929,0.5977
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,71,167,986,14291,7763,1819,2025,5769,1119,2353,491,2116,474,421,0,40,39627,2466,42133,93531,0.4504
12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,112,183,4829,15862,7921,7442,1740,7088,1051,1825,1238,470,337,723,0,21,50526,2549,53096,90270,0.5881
12,GUERRERO,24,TIXTLA DE GUERRERO,118,179,867,11305,15045,565,2726,8348,1339,935,435,214,1493,186,0,12,43458,3456,46926,84857,0.553
12,GUERRERO,25,CHILAPA DE ALVAREZ,84,166,724,18761,15484,1074,1009,1718,1583,1340,664,0,475,396,450,36,43678,3061,46775,79940,0.5851
12,GUERRERO,26,ATLIXTAC,117,189,8675,17065,19378,1627,549,4622,2323,1865,1550,199,180,82,0,19,58115,3099,61233,81986,0.7468
12,GUERRERO,27,TLAPA DE COMONFORT,94,192,0,19227,16727,7727,601,1327,1452,2333,607,427,1237,715,0,18,52380,2849,55247,97902,0.5643
12,GUERRERO,28,TLAPA DE COMONFORT,102,177,256,13300,14929,10320,1203,6493,289,978,137,321,366,0,0,8,48592,3309,51909,78808,0.6586
