ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,MC,NA,MORENA,MORENA_PT_ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,ABASOLO,50,117,9465,11191,412,1853,310,408,,10288,,,,,,,,,,,,,,,,,,,,,,,,,,33927,5,1097,35029,67145,
11,GUANAJUATO,2,ACAMBARO,90,175,8050,2508,9487,1432,957,1045,,12550,805,6111,,,,,,,,,,,,,,,,,,,,,,,,42945,51,1944,44940,95102,
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,103,223,21774,5980,1425,2303,623,2366,,13837,,,,,,,,,,,,,,,,,,,3874,1399,,,,,,53581,95,2340,56016,126028,
11,GUANAJUATO,4,APASEO EL ALTO,44,90,4523,4367,861,1923,3944,495,,8924,,,,,,,,,,,,,,,,,,,,,,,,,,25037,14,964,26015,50108,
11,GUANAJUATO,5,APASEO EL GRANDE,43,113,8803,5756,378,10136,386,,,5664,,,886,260,274,,,,,,,,,,,,,,,,,,,,,32543,10,1145,33698,66615,
11,GUANAJUATO,6,ATARJEA,5,10,1580,459,,75,10,,,48,,,,,,1029,,,,,,,,,,,,,,,,,,,,3201,0,207,3408,4242,
11,GUANAJUATO,7,CELAYA,247,629,62586,18663,2430,8266,4056,3166,,41314,,,,,,,38118,,,,,,,,,,,,,,,,,,,178599,373,5639,184611,373130,
11,GUANAJUATO,8,MANUEL DOBLADO,42,62,6830,8231,314,1628,40,98,,520,,,,,,,,,,,,,,,,,,,,,,,,,,17661,5,600,18266,31241,
11,GUANAJUATO,9,COMONFORT,43,101,5478,2567,,3742,1448,1341,,138,,,,,,,,3615,,,,,,,,,,,,,,,,,,18329,6,1282,19617,59583,
11,GUANAJUATO,10,CORONEO,10,18,2621,2229,,527,32,70,,321,,,,,,,,,,,,,,,,,,,,,,,,,,5800,3,275,6078,9461,
11,GUANAJUATO,11,CORTAZAR,55,131,17480,3226,16098,1305,247,1732,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,42945,12,1254,44211,74090,
