ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MAS,PAN_PRD,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,CAND_IND14,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,Sonora,1,ACONCHI,2,5,595,0,28,0,16,14,0,256,8,6,17,,,,,,,,,755,,,,,,,1695,0,81,1776,2431,
26,Sonora,2,AGUA PRIETA,29,104,8833,7447,473,500,984,304,432,7876,174,219,124,219,170,48,14,106,135,20,34,,,,,,,,28112,5,908,29025,64815,
26,Sonora,62,ALAMOS,28,42,1699,0,78,0,85,375,0,798,34,280,1517,,,,,1106,8,1,4,5192,,,,,,,11177,0,744,11921,19332,
26,Sonora,3,ALTAR,7,14,460,2008,78,44,79,114,61,819,39,10,14,43,40,6,0,14,8,1,4,,,,,,,,3842,0,169,4011,6573,
26,Sonora,4,ARIVECHI,3,4,123,0,11,0,23,7,0,141,3,0,3,,,,,,,,,477,,,,,,,788,0,49,837,1215,
26,Sonora,5,ARIZPE,5,7,284,0,21,0,27,15,0,161,8,538,0,,,,,,,,,1136,,,,,,,2190,0,97,2287,3019,
26,Sonora,6,ATIL,1,2,168,261,4,2,4,121,8,124,3,0,3,0,5,0,0,5,0,1,0,,,,,,,,709,0,18,727,841,
26,Sonora,7,BACADEHUACHI,1,2,30,0,9,0,7,156,0,361,3,98,0,,,,,,,,,271,,,,,,,935,0,20,955,1147,
26,Sonora,8,BACANORA,3,4,309,0,10,0,13,15,0,137,10,3,0,,,,,,,,,353,,,,,,,850,0,31,881,1293,
26,Sonora,9,BACERAC,1,2,287,0,20,0,8,1,0,119,4,1,5,,,,,,,,,490,,,,,,,935,0,32,967,1152,
26,Sonora,10,BACOACHI,2,3,68,408,211,8,32,12,11,186,7,0,14,12,18,6,0,1,5,0,1,,,,,,,,1000,0,28,1028,1443,
26,Sonora,58,BACUM,13,29,244,0,1243,0,367,590,0,4810,76,383,56,,,,,75,77,6,23,1832,,,,,,,9782,0,326,10108,17970,
26,Sonora,11,BANAMICHI,2,3,438,0,8,0,14,10,0,122,4,5,7,,,,,,,,,570,,,,,,,1178,0,32,1210,1541,
26,Sonora,12,BAVIACORA,6,9,948,0,27,0,29,275,0,323,10,4,5,,,,,,,,,817,,,,,,,2438,0,100,2538,3430,
26,Sonora,13,BAVISPE,2,3,7,0,2,0,7,1,0,386,2,1,0,,,,,,,,,594,,,,,,,1000,0,11,1011,1324,
26,Sonora,71,BENITO JUAREZ,12,27,345,3385,363,47,220,210,78,4239,84,30,23,83,53,14,0,119,58,3,31,,,,,,,,9385,0,261,9646,15809,
26,Sonora,14,BENJAMIN HILL,4,8,592,0,22,0,42,16,0,790,12,9,17,,,,,,,,,630,,,,,,,2130,0,88,2218,3792,
26,Sonora,46,CABORCA,36,105,4375,4874,423,344,1030,1856,558,13291,493,505,139,208,119,31,13,296,212,24,91,,,,,,,,28882,31,1574,30487,62598,
26,Sonora,59,CAJEME,219,552,7885,29189,1693,3022,3703,13336,2808,70394,1408,1855,186,781,543,127,66,1461,686,61,446,,4136,8183,,,,6295,158264,171,4685,163120,320447,
26,Sonora,15,CANANEA,19,48,2500,2765,392,224,933,1810,550,4531,341,207,60,97,31,21,11,82,62,13,30,,,,,,,,14660,6,602,15268,28255,
26,Sonora,47,CARBO,2,6,527,0,26,0,378,95,0,287,7,5,11,,,,,,,,,956,,,,,,,2292,1,101,2394,3696,
26,Sonora,16,CUCURPE,1,2,393,0,13,0,9,3,0,76,4,0,2,,,,,,,,,281,,,,,,,781,0,29,810,1017,
26,Sonora,17,CUMPAS,8,12,532,0,96,0,111,155,0,928,51,195,4,,,,,,,,,1720,,,,,,,3792,1,263,4056,5359,
26,Sonora,18,DIVISADEROS,1,2,16,0,6,0,3,5,0,398,2,4,0,,,,,,,,,452,,,,,,,886,0,17,903,1118,
26,Sonora,60,EMPALME,30,71,1874,0,489,0,762,753,0,5833,171,797,95,,,,,114,82,8,22,2891,,,,,,,13891,4,447,14342,41003,
26,Sonora,63,ETCHOJOA,40,80,2705,6488,1083,303,623,511,670,11441,224,97,124,216,172,47,8,219,131,17,76,,,,,,,,25155,11,886,26052,44395,
26,Sonora,19,FRONTERAS,5,13,882,1062,30,69,328,34,46,735,24,676,17,34,38,2,0,15,30,2,1,,,,,,,,4025,0,200,4225,6308,
26,Sonora,70,GRAL. PLUTARCO ELIAS CALLES,8,18,240,1873,348,279,69,1196,86,1372,26,25,33,9,1,2,2,13,4,1,2,,,,,,,,5581,0,214,5795,10257,
26,Sonora,20,GRANADOS,1,2,214,0,6,0,8,31,0,174,3,1,1,,,,,,,,,475,,,,,,,913,0,23,936,1168,
26,Sonora,61,GUAYMAS,90,207,7210,0,1643,0,3480,2065,0,22854,734,1435,208,,,,,640,446,56,189,12157,,,,,3088,,56205,50,1590,57845,115520,
26,Sonora,49,HERMOSILLO,415,1004,41055,69975,3026,6251,7124,20560,6059,106792,3451,6112,759,1552,1393,275,116,1896,1011,89,571,,,,,1484,,,279551,292,8926,288769,600038,
26,Sonora,21,HUACHINERA,2,2,334,0,12,0,8,5,0,73,1,2,7,,,,,,,,,447,,,,,,,889,0,23,912,1042,
26,Sonora,22,HUASABAS,1,2,110,0,4,0,9,16,0,241,8,0,1,,,,,,,,,543,,,,,,,932,0,28,960,1428,
26,Sonora,64,HUATABAMPO,41,104,3800,0,507,0,604,4334,0,4912,111,276,5259,,,,,6688,80,16,32,7116,,,,,,,33735,5,1674,35414,59555,
26,Sonora,23,HUEPAC,2,3,378,0,12,0,22,17,0,169,10,5,5,,,,,,,,,467,,,,,,,1085,1,48,1134,1396,
