ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,C_COMUN_PAN_PRD_PD,PRI,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
10,DURANGO,1,DURANGO,48,147,14779,8309,2179,5252,4074,1330,11463,1141,522,,,,49049,49,2304,51402,95637,
10,DURANGO,2,DURANGO,66,159,13467,9058,1874,5120,3075,1288,11287,771,472,2371,,,48783,59,2083,50925,94281,
10,DURANGO,3,DURANGO,48,148,14390,11378,1730,4833,2938,1647,10287,989,475,,,,48667,30,2147,50844,94875,
10,DURANGO,4,DURANGO,66,166,14324,7980,1509,5466,3143,995,9689,675,663,,4787,,49231,75,2420,51726,95844,
10,DURANGO,5,DURANGO,101,180,19400,10933,3262,4982,4159,1811,12589,1178,624,,,,58938,57,2580,61575,100043,
10,DURANGO,6,PUEBLO NUEVO,115,165,10282,8439,1867,3020,649,848,8328,2223,260,,,,35916,27,1981,37924,71660,
10,DURANGO,7,SANTIAGO PAPASQUIARO,151,195,11103,10264,1149,1973,540,949,10107,522,210,,,,36817,14,1957,38788,75368,
10,DURANGO,8,EL ORO,182,234,14571,12121,1252,2379,485,1006,10282,545,318,,,,42959,4,2342,45305,86926,
10,DURANGO,9,MAPIMI,107,165,11112,11219,819,2655,784,1191,13532,836,261,,,,42409,22,2159,44590,76330,
10,DURANGO,10,GOMEZ PALACIO,73,141,8588,7963,898,1941,2200,1034,16804,1820,213,,,,41461,16,1925,43402,82336,
10,DURANGO,11,GOMEZ PALACIO,77,161,11101,11249,1781,1988,1135,1194,20181,1416,251,,,,50296,41,2195,52532,91358,
10,DURANGO,12,GOMEZ PALACIO,56,136,10346,9809,1557,1938,1124,986,18526,1199,210,,,,45695,28,1852,47575,82966,
10,DURANGO,13,LERDO,52,139,10569,9769,1028,1797,629,682,14046,583,220,,,6512,45835,29,1652,47516,81931,
10,DURANGO,14,CUENCAME,112,174,11384,10532,5115,2873,1409,954,7760,3625,332,,,,43984,10,2851,46845,81812,
10,DURANGO,15,NOMBRE DE DIOS,100,169,6313,20749,6680,4363,1234,663,7471,808,283,,,,48564,11,2609,51184,84053,
