ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,113,210,18486,32112,6713,1064,3364,4137,406,433,514,6180,,1927,,,,,,20,75336,2007,77363,103807,0.7453
20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,70,187,8335,11892,4916,1033,11606,7158,443,1468,976,12154,,454,,,,,,28,60435,1865,62328,108681,0.5735
20,OAXACA,3,LOMA BONITA,87,197,4555,19051,13004,2131,3713,7175,1626,1300,811,22457,,272,,,,,,5,76095,2048,78148,102867,0.7597
20,OAXACA,4,TEOTITLAN DE FLORES MAGON,119,212,3476,19250,14342,1670,3239,212,3024,2580,3056,13096,,690,,,,,,14,64635,3640,68289,104617,0.6528
20,OAXACA,5,ASUNCION NOCHIXTLAN,166,249,2984,17342,8069,1597,5847,392,4060,1051,1858,9561,,554,,,,,,35,53315,2295,55645,109639,0.5075
20,OAXACA,6,HEROICA CIUDAD DE HUAJUAPAN DE LEON,157,251,9272,20036,9881,925,4003,1328,399,1123,429,11920,,268,,,,,,47,59584,2183,61814,118506,0.5216
20,OAXACA,7,PUTLA VILLA DE GUERRERO,102,216,1466,16884,11935,1741,4294,1069,1839,578,1303,18212,,894,,,,,,7,60215,3285,63507,110623,0.5741
20,OAXACA,8,HEROICA CIUDAD DE TLAXIACO,128,229,1713,11200,14263,1412,4417,977,5089,1658,1439,12618,,,,,,,,21,54786,2674,57481,109417,0.5253
20,OAXACA,9,IXTLAN DE JUAREZ,127,223,4401,12912,3973,1196,5861,1804,4180,1497,3402,12982,,725,1885,,,,,21,54818,2634,57473,107072,0.5368
20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,81,174,3374,15381,2474,992,10320,728,792,722,388,5268,,106,,,,,,17,40545,2261,42848,87800,0.4880
20,OAXACA,11,MATÍAS ROMERO AVENDAÑO,121,234,7813,20011,10096,1911,3270,2625,470,3451,911,6086,357,430,,6424,,,,33,63855,3300,67188,122462,0.5486
20,OAXACA,12,SANTA LUCÍA DEL CAMINO,61,176,6387,10447,4289,1868,6787,2014,3591,1757,1882,13339,,2380,,,,,,78,54741,2535,57354,109717,0.5227
20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,75,206,6167,13221,5669,1685,6837,1428,1729,1608,1074,17138,,1602,,,2912,,,71,61070,2685,63826,125119,0.5101
20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,78,211,11121,15244,5050,2070,5879,880,1393,2363,760,16073,,1439,,,,2278,1974,96,66524,2785,69405,126006,0.5508
20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,39,176,4369,11572,13479,1417,5542,839,1912,1789,2308,14769,,1730,,,,,,49,59726,2543,62318,117890,0.5286
20,OAXACA,16,ZIMATLAN DE ALVAREZ,103,206,7946,15267,12789,1632,4956,4075,2004,2837,1551,12161,,822,,,,,,48,66040,3494,69582,114797,0.6061
20,OAXACA,17,TLACOLULA DE MATAMOROS,122,233,12289,17458,6714,2417,4906,1179,768,1393,777,8485,,496,,,,,,30,56882,3082,59994,124704,0.4811
20,OAXACA,18,SANTO DOMINGO TEHUANTEPEC,91,187,2469,19251,10113,1251,7039,791,2014,1709,984,17032,,2926,,,,,,45,65579,2610,68234,98748,0.6910
20,OAXACA,19,SALINA CRUZ,86,207,7961,17890,16598,1629,4555,469,1703,2074,294,13507,,570,,,,,,22,67250,2505,69777,118328,0.5897
20,OAXACA,20,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,89,195,2895,20180,14430,1680,5170,768,2386,829,762,15357,,629,,,,,,45,65086,3746,68877,108489,0.6349
20,OAXACA,21,HEROICA CIUDAD DE EJUTLA DE CRESPO,92,176,6674,14855,5086,1236,4753,351,2476,1335,1002,9334,,219,,,,,,60,47321,1105,48486,94557,0.5128
20,OAXACA,22,SANTIAGO PINOTEPA NACIONAL,108,234,2651,25783,30800,808,5306,1277,2481,1281,603,11023,,196,,,,,,31,82209,2666,84906,127515,0.6659
20,OAXACA,23,SAN PEDRO MIXTEPEC,62,186,4553,20031,5507,1972,5959,543,905,2569,683,18247,,300,,,,,,46,61269,2719,64034,108478,0.5903
20,OAXACA,24,MIAHUATLAN DE PORFIRIO DÍAZ,109,204,10089,18237,3444,1512,3176,338,2646,933,755,9104,,358,,,,,,29,50592,2473,53094,108585,0.4890
20,OAXACA,25,SAN PEDRO POCHUTLA,64,188,7780,12278,6104,1468,10135,5967,981,4189,2208,10497,,1896,,,,,,6,63503,2833,66342,110150,0.6023
