ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,C_COMUN_PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
28,TAMAULIPAS,1,ABASOLO,11,17,2814,2747,165,14,15,19,45,191,28,,0,6038,101,6141,8251,0.7443
28,TAMAULIPAS,2,ALDAMA,21,44,4351,,121,,107,6188,,279,120,5117,5,16283,475,16965,23115,0.7339
28,TAMAULIPAS,3,ALTAMIRA,84,254,43838,11979,2114,468,1759,4338,675,2888,1381,17711,53,87151,1909,89205,155168,0.5749
28,TAMAULIPAS,4,ANTIGUO MORELOS,7,12,3595,1678,27,33,11,1,75,63,8,,0,5491,66,5532,7201,0.7682
28,TAMAULIPAS,5,BURGOS,8,12,1781,1627,3,4,2,2,57,10,1,,3,3487,43,3533,4373,0.8079
28,TAMAULIPAS,6,BUSTAMANTE,9,15,1230,2694,15,12,7,4,132,69,28,,0,4191,126,4325,5521,0.7834
28,TAMAULIPAS,7,CAMARGO,16,26,2373,2738,42,64,28,52,166,201,1158,,4,6822,280,7106,12788,0.5557
28,TAMAULIPAS,8,CASAS,8,12,1728,1506,22,4,18,14,46,10,22,,3,3370,86,3461,4109,0.8423
28,TAMAULIPAS,9,CIUDAD MADERO,107,278,44046,28074,2476,1800,737,4214,1569,5895,1516,,105,90327,2358,92782,164436,0.5642
28,TAMAULIPAS,10,CRUILLAS,5,7,268,1117,5,6,2,0,11,10,1,,0,1420,26,1446,2039,0.7092
28,TAMAULIPAS,11,GÓMEZ FARIAS,7,17,3295,1953,15,19,30,10,96,82,31,,8,5531,96,5521,7004,0.7883
28,TAMAULIPAS,12,GONZÁLEZ,37,68,11150,7560,98,110,55,159,428,225,61,,10,19655,399,20344,30954,0.6572
28,TAMAULIPAS,13,GÜEMEZ,15,27,4315,4638,45,41,19,73,76,71,67,,1,9345,194,9546,12465,0.7658
28,TAMAULIPAS,14,GUERRERO,3,6,680,803,3,1,14,4,19,24,2,,1,1550,37,1588,2742,0.5791
28,TAMAULIPAS,15,GUSTAVO DÍAZ ORDAZ,14,26,2089,2431,18,38,30,29,184,121,2942,,2,7882,205,8089,13362,0.6054
28,TAMAULIPAS,16,HIDALGO,21,34,7663,1158,51,48,26,99,80,210,122,,1,9457,257,9712,15574,0.6236
28,TAMAULIPAS,17,JAUMAVE,12,24,2550,3790,61,57,46,77,254,390,999,,5,8224,488,8713,11085,0.7860
28,TAMAULIPAS,18,JIMÉNEZ,8,13,2039,2318,27,13,2,12,59,19,25,,0,4514,63,4581,6094,0.7517
28,TAMAULIPAS,19,LLERA,18,30,3566,4005,111,121,33,201,326,230,218,,6,8811,575,9388,12872,0.7293
28,TAMAULIPAS,20,MAINERO,4,6,1340,48,8,3,3,1,3,8,0,,0,1414,51,1465,2308,0.6347
28,TAMAULIPAS,21,EL MANTE,86,166,27299,18342,799,2176,693,853,1151,2099,677,,35,54089,1205,54730,87221,0.6275
28,TAMAULIPAS,22,MATAMOROS,224,642,68621,69459,2926,2384,1806,11222,3616,8665,4609,12027,584,185335,6513,191866,385211,0.4981
28,TAMAULIPAS,23,MÉNDEZ,6,10,1532,1427,15,5,5,5,35,44,23,,0,3091,36,3127,3968,0.7881
28,TAMAULIPAS,24,MIER,6,8,1359,901,3,12,32,340,34,24,32,,0,2737,66,2803,4405,0.6363
28,TAMAULIPAS,25,MIGUEL ALEMÁN,22,39,6530,4593,55,90,61,116,280,163,235,,11,12123,354,12488,20156,0.6196
28,TAMAULIPAS,26,MIQUIHUANA,4,6,1251,1268,4,3,2,10,44,93,13,,0,2688,57,2745,2817,0.9744
28,TAMAULIPAS,27,NUEVO LAREDO,206,509,76327,49486,2250,1654,758,3241,2683,2980,2353,,110,141732,3056,145424,299617,0.4854
28,TAMAULIPAS,28,NUEVO MORELOS,3,5,1244,1226,4,5,1,2,43,7,0,,0,2532,29,2563,2995,0.8558
28,TAMAULIPAS,29,OCAMPO,14,22,3908,3681,15,21,8,6,385,34,19,,3,8077,241,8331,10466,0.7960
28,TAMAULIPAS,30,PADILLA,9,21,3857,3744,36,36,41,133,148,100,353,,2,8448,143,8593,11449,0.7505
28,TAMAULIPAS,31,PALMILLAS,4,5,471,678,7,5,0,2,20,8,11,,0,1202,121,1323,1612,0.8207
28,TAMAULIPAS,32,REYNOSA,400,857,100737,69577,4569,5759,2941,11135,6737,16702,7022,,543,225179,6277,232450,488143,0.4762
28,TAMAULIPAS,33,RÍO BRAVO,72,170,16262,17459,1289,1898,647,1637,1653,2828,3722,,57,47395,1678,49811,99017,0.5031
28,TAMAULIPAS,34,SAN CARLOS,12,19,2999,2577,41,8,6,9,56,16,43,,0,5755,51,5813,7537,0.7713
28,TAMAULIPAS,35,SAN FERNANDO,52,83,11937,10125,1524,63,106,171,1111,734,198,,1,25969,548,26532,38302,0.6927
28,TAMAULIPAS,36,SAN NICOLÁS,2,3,58,770,7,1,1,7,6,0,30,,0,880,8,888,1108,0.8014
28,TAMAULIPAS,37,SOTO LA MARINA,24,45,6420,5463,768,58,63,19,756,119,56,,1,13722,277,13819,18264,0.7566
28,TAMAULIPAS,38,TAMPICO,192,436,63250,300,11338,13,2036,5634,16,7004,2278,47115,150,138984,3349,142750,245533,0.5814
28,TAMAULIPAS,39,TULA,19,42,7458,5923,50,53,122,22,493,95,26,,1,14242,328,14863,20898,0.7112
28,TAMAULIPAS,40,VALLE HERMOSO,46,87,9903,111,271,6,389,531,11,794,1599,12240,70,25855,800,26789,46525,0.5758
28,TAMAULIPAS,41,VICTORIA,149,398,51478,51229,1769,1691,1776,24404,4361,4480,4852,,140,146040,3880,156601,237628,0.6590
28,TAMAULIPAS,42,VILLAGRÁN,7,13,3024,204,8,8,11,6,9,18,3,,0,3291,98,3389,4897,0.6921
